(1.0, 53, 1.7460713386535645)
(1.0, 53, 1.9810705184936523)
(1.0, 53, 2.217071056365967)
(1.0, 53, 2.677069902420044)
(0.0, 24, 2.986069440841675)
(0.0, 24, 3.2980706691741943)
(0.0, 24, 3.612069606781006)
(0.0, 24, 3.8920695781707764)
(0.0, 24, 4.200069904327393)
(1.0, 53, 4.91206955909729)
(1.0, 53, 5.636579513549805)
(1.0, 53, 6.303580284118652)
(1.0, 53, 7.011091232299805)
(0.0, 24, 7.348090410232544)
(1.0, 53, 8.091091394424438)
(1.0, 53, 8.726090431213379)
(1.0, 53, 9.338090896606445)
(1.0, 53, 9.98209261894226)
(1.0, 53, 10.63459849357605)
(1.0, 53, 11.247599124908447)
(1.0, 53, 11.945598363876343)
(0.0, 24, 12.239598512649536)
(1.0, 53, 12.880600452423096)
(1.0, 53, 13.500600099563599)
(0.0, 24, 13.826600074768066)
(2.0, 102, 14.997598648071289)
(1.0, 53, 15.653598308563232)
(1.0, 71, 16.540599822998047)
(0.0, 24, 16.827598571777344)
(0.0, 24, 17.136107921600342)
(1.0, 53, 17.836106538772583)
(1.0, 53, 18.48910617828369)
(0.0, 24, 18.78010606765747)
(1.0, 53, 19.404106616973877)
(1.0, 53, 20.021106004714966)
(1.0, 53, 20.635106325149536)
(1.0, 53, 21.235106229782104)
(1.0, 53, 21.848106384277344)
(1.0, 53, 22.472106218338013)
(1.0, 53, 23.08312702178955)
(1.0, 53, 23.71512722969055)
(1.0, 53, 24.45366358757019)
(1.0, 53, 25.107665061950684)
(1.0, 53, 25.8256778717041)
(1.0, 53, 26.447677612304688)
(1.0, 53, 27.095677614212036)
(1.0, 53, 27.745677709579468)
(1.0, 53, 28.34567904472351)
(1.0, 53, 28.958678245544434)
(1.0, 53, 29.57170081138611)
(1.0, 53, 30.263700246810913)
(1.0, 53, 30.902699947357178)
(1.0, 53, 31.538701057434082)
(1.0, 53, 32.1637020111084)
(1.0, 53, 32.81970000267029)
(1.0, 53, 33.4527006149292)
(1.0, 53, 34.06821012496948)
(1.0, 53, 34.65820860862732)
(1.0, 53, 35.345210552215576)
(1.0, 53, 35.94920897483826)
(4.0, 187, 38.09275197982788)
(1.0, 53, 38.727752447128296)
(1.0, 53, 39.33476948738098)
(1.0, 53, 39.94077157974243)
(1.0, 53, 40.556769371032715)
(1.0, 53, 41.16876935958862)
(1.0, 53, 41.78377079963684)
(1.0, 53, 42.41627907752991)
(1.0, 53, 43.016278982162476)
(3.0, 168, 44.99729251861572)
(1.0, 53, 45.702293157577515)
(1.0, 53, 46.36680316925049)
(1.0, 53, 47.151803731918335)
(1.0, 53, 47.847803354263306)
(1.0, 53, 48.516802072525024)
(2.0, 100, 49.70882272720337)
(1.0, 53, 50.35333299636841)
(1.0, 53, 50.9673330783844)
(1.0, 53, 51.5823335647583)
(1.0, 53, 52.20933294296265)
(1.0, 53, 52.8148410320282)
(1.0, 53, 53.46584105491638)
(1.0, 53, 54.134840965270996)
(1.0, 53, 54.77087712287903)
(1.0, 53, 55.37587785720825)
(1.0, 53, 56.01287579536438)
(1.0, 53, 56.659876346588135)
(1.0, 53, 57.295878648757935)
(1.0, 53, 57.97787594795227)
(2.0, 120, 59.370383977890015)
(1.0, 53, 59.982383728027344)
(1.0, 53, 60.60638427734375)
(1.0, 53, 61.22038459777832)
(1.0, 53, 61.83538460731506)
(1.0, 53, 62.49089741706848)
(1.0, 53, 63.0898962020874)
(1.0, 53, 63.7388973236084)
(1.0, 53, 64.38989639282227)
(1.0, 53, 65.09240531921387)
(1.0, 53, 65.76440715789795)
(1.0, 53, 66.47191643714905)
(1.0, 53, 67.24891567230225)
(1.0, 53, 68.01691484451294)
(1.0, 53, 68.71091508865356)
(1.0, 53, 69.43442487716675)
(1.0, 53, 70.076425075531)
(1.0, 53, 70.72793698310852)
(1.0, 53, 71.35693407058716)
(1.0, 53, 71.97993540763855)
(1.0, 53, 72.61593461036682)
(1.0, 53, 73.28593397140503)
(1.0, 53, 73.96644282341003)
(1.0, 53, 74.58044457435608)
(1.0, 53, 75.21244311332703)
(1.0, 53, 75.83944320678711)
(1.0, 53, 76.4444432258606)
(1.0, 53, 77.0704436302185)
(1.0, 53, 77.68544435501099)
(1.0, 53, 78.3454430103302)
(1.0, 53, 79.00444340705872)
(1.0, 53, 79.68144297599792)
(1.0, 53, 80.37895631790161)
(1.0, 53, 80.99795603752136)
(1.0, 53, 81.61895632743835)
(1.0, 53, 82.21646642684937)
(1.0, 53, 82.85046553611755)
(2.0, 120, 84.20546531677246)
(1.0, 53, 84.82546639442444)
(1.0, 53, 85.49946546554565)
(1.0, 53, 86.16746687889099)
(1.0, 53, 86.88646578788757)
(1.0, 53, 87.59846663475037)
(1.0, 53, 88.3514666557312)
(1.0, 53, 89.00846672058105)
(1.0, 53, 89.72346687316895)
(1.0, 53, 90.39546728134155)
(1.0, 53, 91.08546710014343)
(1.0, 53, 91.7324652671814)
(1.0, 53, 92.37746620178223)
(1.0, 53, 93.02646517753601)
(1.0, 53, 93.68946599960327)
(1.0, 53, 94.35897493362427)
(1.0, 53, 95.00197529792786)
(1.0, 53, 95.64500284194946)
(1.0, 53, 96.2470030784607)
(1.0, 53, 96.91700506210327)
(1.0, 53, 97.54300308227539)
(1.0, 53, 98.24100351333618)
(1.0, 53, 98.89400291442871)
(1.0, 54, 99.54300284385681)
(1.0, 53, 100.20500326156616)
(1.0, 53, 100.87051367759705)
(1.0, 53, 101.51351284980774)
(1.0, 53, 102.13551306724548)
(1.0, 53, 102.75151467323303)
(1.0, 53, 103.3765320777893)
(1.0, 53, 103.98004007339478)
(1.0, 53, 104.63005900382996)
(1.0, 53, 105.26805710792542)
(1.0, 53, 105.89405751228333)
(1.0, 53, 106.59505677223206)
(1.0, 53, 107.28256630897522)
(1.0, 53, 108.05656599998474)
(1.0, 53, 108.78259086608887)
(1.0, 53, 109.49758887290955)
(1.0, 53, 110.15458989143372)
(1.0, 53, 110.88559031486511)
(1.0, 53, 111.56959009170532)
(1.0, 53, 112.2156195640564)
(1.0, 53, 112.8786199092865)
(1.0, 53, 113.5326201915741)
(1.0, 53, 114.2081298828125)
(1.0, 53, 114.86812925338745)
(1.0, 53, 115.51012873649597)
(1.0, 53, 116.18263983726501)
(1.0, 53, 116.80764102935791)
(1.0, 53, 117.52463960647583)
(1.0, 53, 118.13763904571533)
(1.0, 53, 118.76164078712463)
(1.0, 53, 119.38265609741211)
(1.0, 53, 119.99465775489807)
(1.0, 53, 120.6206567287445)
(1.0, 53, 121.28865766525269)
(1.0, 53, 121.9136574268341)
(1.0, 53, 122.5406563282013)
(1.0, 53, 123.17865800857544)
(1.0, 53, 123.80816578865051)
(1.0, 53, 124.44316554069519)
(2.0, 102, 125.60116672515869)
(2.0, 102, 126.7611653804779)
(1.0, 53, 127.47216653823853)
(1.0, 53, 128.15567445755005)
(1.0, 53, 128.8066761493683)
(1.0, 53, 129.60967564582825)
